,Cycle,District,Jurisdiction,MatchedName,MatchedStation,Name,NameSimpl,Party,Path,Race,Station,id
58,2018,AZ 01,Federal,TIFFANY SHEDD FOR US CONGRESS AS-1,KPHO-TV,TIFFANY SHEDD FOR US CONGRESS AS-1,TIFFANY SHEDD  AS 1,Republican,/home/andrew/Documents/PredictiveModeling/TV/stations/KPHO-TV/Political Files/2018/Federal/US House/AZ 01,House,KPHO-TV,58
63,2018,,State,Valenzuela Democrat Mayor,KNXV-TV,Valenzuela Democrat Mayor,Valenzuela,Democrat,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/Local/Valenzuela Democrat Mayor,Mayor,KNXV-TV,63
64,2018,AZ 01,Federal,WENDY ROGERS FOR US CONGRESS AZ-1,KPHO-TV,WENDY ROGERS FOR US CONGRESS AZ-1,WENDY ROGERS   1,,/home/andrew/Documents/PredictiveModeling/TV/stations/KPHO-TV/Political Files/2018/Federal/US House/AZ 01,House,KPHO-TV,64
66,2018,,State,Women Vote,KTVW-DT,Women Vote,Women Vote,,/home/andrew/Documents/PredictiveModeling/TV/stations/KTVW-DT/Political Files/2018/State/Women Vote,,KTVW-DT,66
0,2018,,Non-Candidate Issue Ads,45 Committe PAC,,45 Committe PAC,45 Committe PAC,Republican,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/45 Committe PAC,President,KASW,1
1,2018,,Non-Candidate Issue Ads,AFSCME People Pac,,AFSCME People Pac,AFSCME People Pac,Democrat,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/AFSCME People Pac,Senate,KASW,2
2,2018,,Non-Candidate Issue Ads,ARIZONA EDUCATION PROJECT,,ARIZONA EDUCATION PROJECT,ARIZONA EDUCATION PROJECT,Corporate Tax Breaks,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/ARIZONA EDUCATION PROJECT,Red for Ed,KPHO-TV,3
3,2018,,Non-Candidate Issue Ads,ACLU AZ,,ACLU AZ,American Civil Liberties Union ARIZONA,Democrat,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/ACLU AZ,Senate,KNXV-TV,4
4,2018,,Non-Candidate Issue Ads,Arizona Education Association,,Arizona Education Association,Arizona Education Association,Funding Public Ed,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Arizona Education Association,Red for Ed,KNXV-TV,7
5,2018,,Non-Candidate Issue Ads,Arizona Republican Party,,Arizona Republican Party,Arizona Republican Party,Republican,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/Arizona Republican Party,Senate,KASW,8
6,2018,,Non-Candidate Issue Ads,Arizona for Freedom,,Arizona for Freedom,Arizona for Freedom,Republican,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Arizona for Freedom,Attorney General,KNXV-TV,9
7,2018,,Non-Candidate Issue Ads,Arizonans for Affordable Electricity,,Arizonans for Affordable Electricity,Arizonans for Affordable Electricity,No,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/Arizonans for Affordable Electricity,Prop 129,KASW,10
8,2018,,Non-Candidate Issue Ads,Chispa AZ PAC,,Chispa AZ PAC,Chispa ARIZONA PAC,Vote,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Chispa AZ PAC,GOTV,KNXV-TV,12
9,2018,,Non-Candidate Issue Ads,Citizens for Fair Tax Policy - GENERAL,,Citizens for Fair Tax Policy - GENERAL,Citizens for Fair Tax Policy,Yes,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Citizens for Fair Tax Policy - GENERAL,Prop 126,KNXV-TV,13
10,2018,,Non-Candidate Issue Ads,Clean Energy for a Healthy Arizona,,Clean Energy for a Healthy Arizona,Clean Energy for a Healthy Arizona,Yes,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/Clean Energy for a Healthy Arizona,Prop 127,KASW,14
11,2018,,Non-Candidate Issue Ads,DSCC,,DSCC,DSCC,Democrat,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/DSCC,Senate,KASW,17
12,2018,,Non-Candidate Issue Ads,Defend AZ,,Defend AZ,Defend ARIZONA,Republican,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/Defend AZ,Senate,KASW,19
13,2018,,Non-Candidate Issue Ads,DAGA Peoples Lawyers Project,,DAGA Peoples Lawyers Project,Democratic Attorneys General Association  Peoples Lawyers Project,Democrat,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/DAGA Peoples Lawyers Project,Attorney General,KNXV-TV,20
14,2018,,Non-Candidate Issue Ads,DCCC,,DCCC,Democratic Congressional Campaign Committee,Democrat,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/DCCC,House,KASW,21
15,2018,,Non-Candidate Issue Ads,Future 45,,Future 45,Future 45,Republican,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/Future 45,President,KASW,23
16,2018,,Non-Candidate Issue Ads,House Majority,,House Majority,House Majority,Democrat,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/House Majority,House,KASW,31
17,2018,,Non-Candidate Issue Ads,INVEST IN EDUCATION COMMITTEE,,INVEST IN EDUCATION COMMITTEE,INVEST IN EDUCATION COMMITTEE,Vote,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KTAZ/Political Files/2018/Non-Candidate Issue Ads/INVEST IN EDUCATION COMMITTEE,GOTV,KTAZ,32
18,2018,,Non-Candidate Issue Ads,LATINO VOTE,,LATINO VOTE,LATINO VOTE,Vote,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KTAZ/Political Files/2018/Non-Candidate Issue Ads/LATINO VOTE,GOTV,KTAZ,38
19,2018,,Non-Candidate Issue Ads,MAJORITY FORWARD-VOTE VETS ACTION FUND,,MAJORITY FORWARD-VOTE VETS ACTION FUND,MAJORITY FORWARD VOTE VETS ACTION FUND,Democrat,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/MAJORITY FORWARD-VOTE VETS ACTION FUND,Senate,KPHO-TV,41
20,2018,,Non-Candidate Issue Ads,NRCC IE,,NRCC IE,NRCC,Republican,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/NRCC IE,House,KNXV-TV,45
21,2018,,Non-Candidate Issue Ads,NRCC - AZ 08,,NRCC - AZ 08,NRCC   ARIZONA 08,Republican,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KTVK/Political Files/2018/Non-Candidate Issue Ads/NRCC - AZ 08,House,KTVK,46
22,2018,,Non-Candidate Issue Ads,NRSC,,NRSC,NRSC,Republican,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/NRSC,Senate,KASW,47
23,2018,,Non-Candidate Issue Ads,One Nation,,One Nation,One Nation,Republican,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/One Nation,Senate,KASW,48
24,2018,,Non-Candidate Issue Ads,Patriot Majority,,Patriot Majority,Patriot Majority,Democrat,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/Patriot Majority,Senate,KASW,49
25,2018,,Non-Candidate Issue Ads,PFAW,,PFAW,People for the American Way,Democrat,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KTAZ/Political Files/2018/Non-Candidate Issue Ads/PFAW,Governor,KTAZ,50
26,2018,,Non-Candidate Issue Ads,Red and Gold,,Red and Gold,Red and Gold,Democrat,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/Red and Gold,Senate,KASW,51
27,2018,,Non-Candidate Issue Ads,Republican Governors Association,,Republican Governors Association,Republican Governors Association,Republican,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/Republican Governors Association,Governor,KASW,52
28,2018,,Non-Candidate Issue Ads,Save Native American Families - No on Prop 127,,Save Native American Families - No on Prop 127,Save Native American Families   No on Prop 127,No,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Save Native American Families - No on Prop 127,Prop 127,KNXV-TV,54
29,2018,,Non-Candidate Issue Ads,Senate Majority,,Senate Majority,Senate Majority,Democrat,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/Senate Majority,Senate,KASW,55
30,2018,,Non-Candidate Issue Ads,Tax March,,Tax March,Tax March,Release Those Returns,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/Tax March,Tax Returns,KASW,59
31,2018,,Non-Candidate Issue Ads,Tom Steyer- Impeach Trump,,Tom Steyer- Impeach Trump,Tom Steyer  Impeach Trump,Impeach,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KTVW-DT/Political Files/2018/Non-Candidate Issue Ads/Tom Steyer- Impeach Trump,Impeachment,KTVW-DT,60
32,2018,,Non-Candidate Issue Ads,Tom Steyer Issue Campaign,,Tom Steyer Issue Campaign,Tom Steyer Issue Campaign,Impeach,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KSAZ-TV/Political Files/2018/Non-Candidate Issue Ads/Tom Steyer Issue Campaign,Impeachment,KSAZ-TV,61
33,2018,,Non-Candidate Issue Ads,US Chamber of Commerce,,US Chamber of Commerce,US Chamber of Commerce,Democrat,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/US Chamber of Commerce,Senate,KNXV-TV,62
34,2018,,Non-Candidate Issue Ads,WOMEN VOTE,,WOMEN VOTE,WOMEN VOTE,Democrat,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KTAZ/Political Files/2018/Non-Candidate Issue Ads/WOMEN VOTE,Senate,KTAZ,65
35,2018,8.0,Non-Candidate Issue Ads,Working Families Party IE,,Working Families Party IE,Working Families Party,Democrat,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Working Families Party IE,House,KNXV-TV,67
36,2018,,Non-Candidate Issue Ads,Yes For Ed AZ,,Yes For Ed AZ,Yes For Ed ARIZONA,Yes,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KAZT-TV/Political Files/2018/Non-Candidate Issue Ads/Yes For Ed AZ,Prop 305,KAZT-TV,68
37,2018,,Non-Candidate Issue Ads,cult Insights- Mi Familia Vota,,cult Insights- Mi Familia Vota,cult Insights  Mi Familia Vota,Vote,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KTVW-DT/Political Files/2018/Non-Candidate Issue Ads/cult Insights- Mi Familia Vota,GOTV,KTVW-DT,69
