Cycle,District,Jurisdiction,Name,Path,Race,Station,Party,NameSimpl,MatchedName,MatchedStation,id
2018,,Non-Candidate Issue Ads,Majority Forward,/home/andrew/Documents/PredictiveModeling/TV/stations/KASW/Political Files/2018/Non-Candidate Issue Ads/Majority Forward,,KASW,,Majority Forward,MAJORITY FORWARD-VOTE VETS ACTION FUND,KASW,41
2018,,Non-Candidate Issue Ads,DCCC,/home/andrew/Documents/PredictiveModeling/TV/stations/KASW/Political Files/2018/Non-Candidate Issue Ads/DCCC,House,KASW,Democrat,Democratic Congressional Campaign Committee,DCCC,KASW,21
2018,,Non-Candidate Issue Ads,Defend AZ,/home/andrew/Documents/PredictiveModeling/TV/stations/KASW/Political Files/2018/Non-Candidate Issue Ads/Defend AZ,,KASW,,Defend ARIZONA,Defend AZ,KASW,19
2018,,Non-Candidate Issue Ads,DSCC,/home/andrew/Documents/PredictiveModeling/TV/stations/KASW/Political Files/2018/Non-Candidate Issue Ads/DSCC,Senate,KASW,Democrat,DSCC,DSCC,KASW,17
2018,,Non-Candidate Issue Ads,House Majority,/home/andrew/Documents/PredictiveModeling/TV/stations/KASW/Political Files/2018/Non-Candidate Issue Ads/House Majority,House,KASW,,House Majority,House Majority,KASW,31
2018,,Non-Candidate Issue Ads,Clean Energy for a Healthy Arizona,/home/andrew/Documents/PredictiveModeling/TV/stations/KASW/Political Files/2018/Non-Candidate Issue Ads/Clean Energy for a Healthy Arizona,,KASW,,Clean Energy for a Healthy Arizona,Clean Energy for a Healthy Arizona,KASW,14
2018,,State,Governor,/home/andrew/Documents/PredictiveModeling/TV/stations/KASW/Political Files/2018/State/Governor,Governor,KASW,,,Governor,KASW,0
2018,,State,D DUCEY AZRP,/home/andrew/Documents/PredictiveModeling/TV/stations/KASW/Political Files/2018/State/D DUCEY AZRP,,KASW,Republican,D DUCEY,D DUCEY AZRP,KASW,16
2018,,State,Gallego for Mayor,/home/andrew/Documents/PredictiveModeling/TV/stations/KASW/Political Files/2018/State/Gallego for Mayor,Mayor,KASW,,Gallego,Gallego for Mayor,KASW,24
2018,,State,Katie Hobbs for Secretary of State,/home/andrew/Documents/PredictiveModeling/TV/stations/KASW/Political Files/2018/State/Katie Hobbs for Secretary of State,Secretary of State,KASW,,Katie Hobbs,Katie Hobbs for Secretary of State,KASW,36
2018,,Federal,NRSC McSally,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/Federal/US Senate/NRSC McSally,Senate,KNXV-TV,Republican,McSally,McSally for Senate,KASW,44
2018,,Federal,Sinema for Senate - General,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/Federal/US Senate/Sinema for Senate - General,Senate,KNXV-TV,,Sinema,Kyrsten Sinema,KASW,37
2018,,Federal,McSally Republican US Senate - General,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/Federal/US Senate/McSally Republican US Senate - General,Senate,KNXV-TV,Republican,McSally,McSally for Senate,KASW,44
2018,,Federal,DSCC Sinema for Senate,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/Federal/US Senate/DSCC Sinema for Senate,Senate,KNXV-TV,Democrat,Sinema,Kyrsten Sinema,KASW,37
2018,,Federal,Sinema for Senate - Primary,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/Federal/US Senate/Sinema for Senate - Primary,Senate,KNXV-TV,,Sinema,Kyrsten Sinema,KASW,37
2018,,Federal,McSally Republican US Senate - Primary,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/Federal/US Senate/McSally Republican US Senate - Primary,Senate,KNXV-TV,Republican,McSally,McSally for Senate,KASW,44
2018,,Federal,NRCC Lesko for Congress,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/Federal/US House/NRCC Lesko for Congress,House,KNXV-TV,Republican,Lesko,NRCC Lesko for Congress,KNXV-TV,39
2018,,Federal,Stanton Democrat Congress - GENERAL,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/Federal/US House/Stanton Democrat Congress - GENERAL,House,KNXV-TV,Democrat,Stanton,Greg Stanton for Congress,KASW,28
2018,,Federal,GallegoDemocratCongress,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/Federal/US House/GallegoDemocratCongress,House,KNXV-TV,Democrat,Gallego,GallegoDemocratCongress,KNXV-TV,25
2018,,Federal,Tiperneni for Congress - PRIMARY,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/Federal/US House/Tiperneni for Congress - PRIMARY,House,KNXV-TV,,Tiperneni,HIRAL TIPRNENI DCONGRESS,KASW,29
2018,,Federal,OHalleran for Congress - PRIMARY,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/Federal/US House/OHalleran for Congress - PRIMARY,House,KNXV-TV,,OHalleran,DCCC T OHALLERAN AZ-1,KASW,57
2018,,Federal,DCCC OHalleran for Congress,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/Federal/US House/DCCC OHalleran for Congress,House,KNXV-TV,Democrat,OHalleran,DCCC T OHALLERAN AZ-1,KASW,57
2018,,Federal,Ferrara for Congress,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/Federal/US House/Ferrara for Congress,House,KNXV-TV,,Ferrara,STEVE FERRARA FOR CONGRESS AZ 09,KNXV-TV,53
2018,,Federal,OHalleran for Congress - GENERAL,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/Federal/US House/OHalleran for Congress - GENERAL,House,KNXV-TV,,OHalleran,DCCC T OHALLERAN AZ-1,KASW,57
2018,,Federal,Shedd for Congress,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/Federal/US House/Shedd for Congress,House,KNXV-TV,,Shedd,Shedd for Congress,KNXV-TV,56
2018,,Federal,Tiperneni for Congress - GENERAL,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/Federal/US House/Tiperneni for Congress - GENERAL,House,KNXV-TV,,Tiperneni,HIRAL TIPRNENI DCONGRESS,KASW,29
2018,,State,Valenzuela Democrat Mayor,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/Local/Valenzuela Democrat Mayor,Mayor,KNXV-TV,Democrat,Valenzuela,Valenzuela Democrat Mayor,KNXV-TV,63
2018,,State,Gallego Democrat Mayor,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/Local/Gallego Democrat Mayor,Mayor,KNXV-TV,Democrat,Gallego,Gallego for Mayor,KASW,24
2018,,Non-Candidate Issue Ads,ACLU AZ,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/ACLU AZ,,KNXV-TV,,American Civil Liberties Union ARIZONA,ACLU AZ,KNXV-TV,4
2018,,Non-Candidate Issue Ads,AFSCMA People,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/AFSCMA People,,KNXV-TV,,AFSCMA People,AFSCME People Pac,KASW,2
2018,,Non-Candidate Issue Ads,45 Committee,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/45 Committee,,KNXV-TV,,45 Committee,45 Committe PAC,KASW,1
2018,,Non-Candidate Issue Ads,Working Families Party IE,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Working Families Party IE,,KNXV-TV,,Working Families Party,Working Families Party IE,KNXV-TV,67
2018,,Non-Candidate Issue Ads,DSCC IE,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/DSCC IE,Senate,KNXV-TV,Democrat,DSCC,DSCC,KASW,17
2018,,Non-Candidate Issue Ads,Chispa AZ PAC,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Chispa AZ PAC,,KNXV-TV,,Chispa ARIZONA PAC,Chispa AZ PAC,KNXV-TV,12
2018,,Non-Candidate Issue Ads,Arizona for Freedom,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Arizona for Freedom,,KNXV-TV,,Arizona for Freedom,Arizona for Freedom,KNXV-TV,9
2018,,Non-Candidate Issue Ads,Tax March,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Tax March,,KNXV-TV,,Tax March,Tax March,KASW,59
2018,,Non-Candidate Issue Ads,US Chamber of Commerce,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/US Chamber of Commerce,,KNXV-TV,,US Chamber of Commerce,US Chamber of Commerce,KNXV-TV,62
2018,,Non-Candidate Issue Ads,Arizonans for Affordable Electricity,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Arizonans for Affordable Electricity,,KNXV-TV,,Arizonans for Affordable Electricity,Arizonans for Affordable Electricity,KASW,10
2018,,Non-Candidate Issue Ads,RGA Arizona PAC,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/RGA Arizona PAC,Governor,KNXV-TV,Republican,Republican Governors Association Arizona PAC,Republican Governors Association,KASW,52
2018,,Non-Candidate Issue Ads,Patriot Majority USA,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Patriot Majority USA,,KNXV-TV,,Patriot Majority USA,Patriot Majority,KASW,49
2018,,Non-Candidate Issue Ads,Save Native American Families - No on Prop 127,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Save Native American Families - No on Prop 127,,KNXV-TV,,Save Native American Families   No on Prop 127,Save Native American Families - No on Prop 127,KNXV-TV,54
2018,,Non-Candidate Issue Ads,Citizens for Fair Tax Policy - GENERAL,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Citizens for Fair Tax Policy - GENERAL,,KNXV-TV,,Citizens for Fair Tax Policy,Citizens for Fair Tax Policy - GENERAL,KNXV-TV,13
2018,,Non-Candidate Issue Ads,Republican Governors Association,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Republican Governors Association,Governor,KNXV-TV,Republican,Republican Governors Association,Republican Governors Association,KASW,52
2018,,Non-Candidate Issue Ads,Senate Majority PAC,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Senate Majority PAC,Senate,KNXV-TV,,Senate Majority PAC,Senate Majority,KASW,55
2018,,Non-Candidate Issue Ads,One Nation AZ,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/One Nation AZ,,KNXV-TV,,One Nation ARIZONA,One Nation,KASW,48
2018,,Non-Candidate Issue Ads,Majority Forward and Vote Vets Action Plan,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Majority Forward and Vote Vets Action Plan,,KNXV-TV,,Majority Forward and Vote Vets Action Plan,MAJORITY FORWARD-VOTE VETS ACTION FUND,KASW,41
2018,,Non-Candidate Issue Ads,Red and Gold,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Red and Gold,,KNXV-TV,,Red and Gold,Red and Gold,KASW,51
2018,,Non-Candidate Issue Ads,Citizens for Fair Tax Policy - PRIMARY,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Citizens for Fair Tax Policy - PRIMARY,,KNXV-TV,,Citizens for Fair Tax Policy,Citizens for Fair Tax Policy - GENERAL,KNXV-TV,13
2018,,Non-Candidate Issue Ads,Arizona Education Association,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Arizona Education Association,,KNXV-TV,,Arizona Education Association,Arizona Education Association,KNXV-TV,7
2018,,Non-Candidate Issue Ads,Arizona Republican Party,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Arizona Republican Party,,KNXV-TV,Republican,Arizona Republican Party,Arizona Republican Party,KASW,8
2018,,Non-Candidate Issue Ads,Majority Forward,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Majority Forward,,KNXV-TV,,Majority Forward,MAJORITY FORWARD-VOTE VETS ACTION FUND,KASW,41
2018,,Non-Candidate Issue Ads,DCCC,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/DCCC,House,KNXV-TV,Democrat,Democratic Congressional Campaign Committee,DCCC,KASW,21
2018,,Non-Candidate Issue Ads,Defend Arizona,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Defend Arizona,,KNXV-TV,,Defend Arizona,Defend AZ,KASW,19
2018,,Non-Candidate Issue Ads,DAGA Peoples Lawyers Project,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/DAGA Peoples Lawyers Project,Attorney General,KNXV-TV,Democrat,Democratic Attorneys General Association  Peoples Lawyers Project,DAGA Peoples Lawyers Project,KNXV-TV,20
2018,,Non-Candidate Issue Ads,House Majority PAC,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/House Majority PAC,House,KNXV-TV,,House Majority PAC,House Majority,KASW,31
2018,,Non-Candidate Issue Ads,Clean Energy for a Healthy Arizona,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/Clean Energy for a Healthy Arizona,,KNXV-TV,,Clean Energy for a Healthy Arizona,Clean Energy for a Healthy Arizona,KASW,14
2018,,Non-Candidate Issue Ads,NRSC IE,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/NRSC IE,Senate,KNXV-TV,Republican,NRSC,NRSC,KASW,47
2018,,Non-Candidate Issue Ads,NRCC IE,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/NRCC IE,House,KNXV-TV,Republican,NRCC,NRCC IE,KNXV-TV,45
2018,,State,Arizona Republican Party Ducey - GENERAL ELECTION,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/State/Arizona Republican Party Ducey - GENERAL ELECTION,,KNXV-TV,Republican,Ducey,D DUCEY AZRP,KASW,16
2018,,State,Arizona Democratic Party - Contreras for Attorney General - GENERAL ELECTION,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/State/Arizona Democratic Party - Contreras for Attorney General - GENERAL ELECTION,Attorney General,KNXV-TV,Democrat,Contreras,Arizona Democratic Party - Contreras for Attorney General - GENERAL ELECTION,KNXV-TV,15
2018,,State,Arizona Republican Party - Mark Brnovich for AZ,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/State/Arizona Republican Party - Mark Brnovich for AZ,,KNXV-TV,Republican,Mark Brnovich,Arizona Republican Party - Mark Brnovich for AZ,KNXV-TV,43
2018,,State,Brnovich for Attorney General - GENERAL ELECTION,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/State/Brnovich for Attorney General - GENERAL ELECTION,Attorney General,KNXV-TV,,Brnovich,Arizona Republican Party - Mark Brnovich for AZ,KNXV-TV,43
2018,,State,Lieberman Democrat State House District 28,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/State/Lieberman Democrat State House District 28,House,KNXV-TV,Democrat,Lieberman  State  District 28,Lieberman Democrat State House District 28,KNXV-TV,40
2018,,State,Hoffman Democrat State Superintendent - GENERAL ELECTION,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/State/Hoffman Democrat State Superintendent - GENERAL ELECTION,Superintendent of Public Instruction,KNXV-TV,Democrat,Hoffman,Hoffman Democrat State Superintendent - GENERAL ELECTION,KNXV-TV,30
2018,,State,Gaynor for AZ Secretary of State - GENERAL ELECTION,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/State/Gaynor for AZ Secretary of State - GENERAL ELECTION,Secretary of State,KNXV-TV,,Gaynor,Gaynor for AZ Secretary of State - GENERAL ELECTION,KNXV-TV,27
2018,,State,Farley for Governor - PRIMARY ELECTION,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/State/Farley for Governor - PRIMARY ELECTION,Governor,KNXV-TV,,Farley,Farley for Governor - PRIMARY ELECTION,KNXV-TV,22
2018,,State,Ducey Republican Governor - GENERAL ELECTION,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/State/Ducey Republican Governor - GENERAL ELECTION,Governor,KNXV-TV,Republican,Ducey,D DUCEY AZRP,KASW,16
2018,,State,Manoil Democrat State Treasurer - PRIMARY ELECTION,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/State/Manoil Democrat State Treasurer - PRIMARY ELECTION,State Treasurer,KNXV-TV,Democrat,Manoil,Manoil Democrat State Treasurer - PRIMARY ELECTION,KNXV-TV,42
2018,,State,Ducey Republican Governor - PRIMARY ELECTION,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/State/Ducey Republican Governor - PRIMARY ELECTION,Governor,KNXV-TV,Republican,Ducey,D DUCEY AZRP,KASW,16
2018,,State,Manoil Democrat State Treasurer - GENERAL ELECTION,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/State/Manoil Democrat State Treasurer - GENERAL ELECTION,State Treasurer,KNXV-TV,Democrat,Manoil,Manoil Democrat State Treasurer - PRIMARY ELECTION,KNXV-TV,42
2018,,State,Garcia for Governor - GENERAL ELECTION,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/State/Garcia for Governor - GENERAL ELECTION,Governor,KNXV-TV,,Garcia,Garcia for Governor - GENERAL ELECTION,KNXV-TV,26
2018,,State,Arizona Democratic Party - Hobbs for AZ Secretary of State - GENERAL ELECTION,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/State/Arizona Democratic Party - Hobbs for AZ Secretary of State - GENERAL ELECTION,Secretary of State,KNXV-TV,Democrat,Hobbs,Katie Hobbs for Secretary of State,KASW,36
2018,,State,Garcia for Governor - PRIMARY ELECTION,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/State/Garcia for Governor - PRIMARY ELECTION,Governor,KNXV-TV,,Garcia,Garcia for Governor - GENERAL ELECTION,KNXV-TV,26
2018,,State,Gaynor for AZ Secretary of State - PRIMARY ELECTION,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/State/Gaynor for AZ Secretary of State - PRIMARY ELECTION,Secretary of State,KNXV-TV,,Gaynor,Gaynor for AZ Secretary of State - GENERAL ELECTION,KNXV-TV,27
2018,,Federal,DSCC-SINEMA FOR ARIZONA,/home/andrew/Documents/PredictiveModeling/TV/stations/KPHO-TV/Political Files/2018/Federal/US Senate/DSCC-SINEMA FOR ARIZONA,Senate,KPHO-TV,Democrat,SINEMA,Kyrsten Sinema,KASW,37
2018,,Federal,SINEMA FOR ARIZONA,/home/andrew/Documents/PredictiveModeling/TV/stations/KPHO-TV/Political Files/2018/Federal/US Senate/SINEMA FOR ARIZONA,,KPHO-TV,,SINEMA,Kyrsten Sinema,KASW,37
2018,,Federal,NRSC MCSALLY FOR SENATE,/home/andrew/Documents/PredictiveModeling/TV/stations/KPHO-TV/Political Files/2018/Federal/US Senate/NRSC MCSALLY FOR SENATE,Senate,KPHO-TV,Republican,MCSALLY,McSally for Senate,KASW,44
2018,,Federal,MCSALLY FOR SENATE,/home/andrew/Documents/PredictiveModeling/TV/stations/KPHO-TV/Political Files/2018/Federal/US Senate/MCSALLY FOR SENATE,Senate,KPHO-TV,,MCSALLY,McSally for Senate,KASW,44
2018,AZ 07,Federal,RUBEN GALLEGO US CONGRESS AZ-07,/home/andrew/Documents/PredictiveModeling/TV/stations/KPHO-TV/Political Files/2018/Federal/US House/AZ 07,House,KPHO-TV,,RUBEN GALLEGO  07,GallegoDemocratCongress,KNXV-TV,25
2018,AZ 09,Federal,GREG STANTON - US CONGRESS AZ-09,/home/andrew/Documents/PredictiveModeling/TV/stations/KPHO-TV/Political Files/2018/Federal/US House/AZ 09,House,KPHO-TV,,GREG STANTON    09,Greg Stanton for Congress,KASW,28
2018,AZ 09,Federal,STEVE FERRARA - US CONGRESS AS-09,/home/andrew/Documents/PredictiveModeling/TV/stations/KPHO-TV/Political Files/2018/Federal/US House/AZ 09,House,KPHO-TV,,STEVE FERRARA   AS 09,STEVE FERRARA FOR CONGRESS AZ 09,KPHO-TV,53
2018,AZ 01,Federal,TIFFANY SHEDD FOR US CONGRESS AS-1,/home/andrew/Documents/PredictiveModeling/TV/stations/KPHO-TV/Political Files/2018/Federal/US House/AZ 01,House,KPHO-TV,,TIFFANY SHEDD  AS 1,TIFFANY SHEDD FOR US CONGRESS AS-1,KPHO-TV,58
2018,AZ 01,Federal,WENDY ROGERS FOR US CONGRESS AZ-1,/home/andrew/Documents/PredictiveModeling/TV/stations/KPHO-TV/Political Files/2018/Federal/US House/AZ 01,House,KPHO-TV,,WENDY ROGERS   1,WENDY ROGERS FOR US CONGRESS AZ-1,KPHO-TV,64
2018,AZ 01,Federal,DCCC T OHALLERAN FOR US CONGRESS AZ-1,/home/andrew/Documents/PredictiveModeling/TV/stations/KPHO-TV/Political Files/2018/Federal/US House/AZ 01,House,KPHO-TV,Democrat,T OHALLERAN   1,DCCC T OHALLERAN AZ-1,KASW,57
2018,AZ 01,Federal,T OHALLERAN FOR US CONGRESS AZ-1,/home/andrew/Documents/PredictiveModeling/TV/stations/KPHO-TV/Political Files/2018/Federal/US House/AZ 01,House,KPHO-TV,,T OHALLERAN   1,DCCC T OHALLERAN AZ-1,KASW,57
2018,AZ 08,Federal,DEBBIE LESKO R CONGRESS,/home/andrew/Documents/PredictiveModeling/TV/stations/KPHO-TV/Political Files/2018/Federal/US House/AZ 08,House,KPHO-TV,Republican,DEBBIE LESKO,NRCC Lesko for Congress,KNXV-TV,39
